门类,专业类代码,专业类,ISCED编码,ISCED类别（英文）,ISCED类别（中文）,工学子类,备注
哲学,0101,哲学类,02,Arts and Humanities,艺术与人文,,
经济学,0201,经济学类,04,Business Administration and Law,商业管理与法律,,
经济学,0202,财政学类,04,Business Administration and Law,商业管理与法律,,
经济学,0203,金融学类,04,Business Administration and Law,商业管理与法律,,
经济学,0204,经济与贸易类,04,Business Administration and Law,商业管理与法律,,
法学,0301,法学类,04,Business Administration and Law,商业管理与法律,,ISCED将法律归入04类
法学,0302,政治学类,03,Social Sciences Journalism and Information,社会科学与新闻,,
法学,0303,社会学类,03,Social Sciences Journalism and Information,社会科学与新闻,,
法学,0304,民族学类,03,Social Sciences Journalism and Information,社会科学与新闻,,
法学,0305,马克思主义理论类,03,Social Sciences Journalism and Information,社会科学与新闻,,
法学,0306,公安学类,07,Engineering Manufacturing and Construction,工程与制造建筑,国防安全,从法学门类移入国防安全子类
教育学,0401,教育学类,03,Social Sciences Journalism and Information,社会科学与新闻,,从01教育并入03社会科学
教育学,0402,体育学类,03,Social Sciences Journalism and Information,社会科学与新闻,,与教育学类同归03；体育教育属于教育学门类
文学,0501,中国语言文学类,02,Arts and Humanities,艺术与人文,,
文学,0502,外国语言文学类,02,Arts and Humanities,艺术与人文,,
文学,0503,新闻传播学类,03,Social Sciences Journalism and Information,社会科学与新闻,,
历史学,0601,历史学类,02,Arts and Humanities,艺术与人文,,
理学,0701,数学类,05,Natural Sciences Mathematics and Statistics,自然科学与数学,,
理学,0702,物理学类,05,Natural Sciences Mathematics and Statistics,自然科学与数学,,含070205T系统科学与工程
理学,0703,化学类,05,Natural Sciences Mathematics and Statistics,自然科学与数学,,
理学,0704,天文学类,05,Natural Sciences Mathematics and Statistics,自然科学与数学,,
理学,0705,地理科学类,05,Natural Sciences Mathematics and Statistics,自然科学与数学,,
理学,0706,大气科学类,05,Natural Sciences Mathematics and Statistics,自然科学与数学,,
理学,0707,海洋科学类,05,Natural Sciences Mathematics and Statistics,自然科学与数学,,
理学,0708,地球物理学类,05,Natural Sciences Mathematics and Statistics,自然科学与数学,,
理学,0709,地质学类,05,Natural Sciences Mathematics and Statistics,自然科学与数学,,
理学,0710,生物科学类,05,Natural Sciences Mathematics and Statistics,自然科学与数学,,
理学,0711,心理学类,03,Social Sciences Journalism and Information,社会科学与新闻,,ISCED 0313归社会科学；中国目录归理学
理学,0712,统计学类,05,Natural Sciences Mathematics and Statistics,自然科学与数学,,
工学,0801,力学类,07,Engineering Manufacturing and Construction,工程与制造建筑,机械·制造·自动化,
工学,0802,机械类,07,Engineering Manufacturing and Construction,工程与制造建筑,机械·制造·自动化,
工学,0803,仪器类,07,Engineering Manufacturing and Construction,工程与制造建筑,机械·制造·自动化,
工学,0804,材料类,07,Engineering Manufacturing and Construction,工程与制造建筑,化工·材料·轻工,
工学,0805,能源动力类,07,Engineering Manufacturing and Construction,工程与制造建筑,电气·能源·核,
工学,0806,电气类,07,Engineering Manufacturing and Construction,工程与制造建筑,电气·能源·核,
工学,0807,电子信息类,06,Information and Communication Technologies,信息与通信技术,,硬件方向；含通信/微电子/光电
工学,0808,自动化类,07,Engineering Manufacturing and Construction,工程与制造建筑,机械·制造·自动化,
工学,0809,计算机类,11,Computer Science,计算机科学,,软件方向单独成第11类
工学,0810,土木类,07,Engineering Manufacturing and Construction,工程与制造建筑,土木·水利·测绘,
工学,0811,水利类,07,Engineering Manufacturing and Construction,工程与制造建筑,土木·水利·测绘,
工学,0812,测绘类,07,Engineering Manufacturing and Construction,工程与制造建筑,土木·水利·测绘,
工学,0813,化工与制药类,07,Engineering Manufacturing and Construction,工程与制造建筑,化工·材料·轻工,
工学,0814,地质类,07,Engineering Manufacturing and Construction,工程与制造建筑,环境·资源,
工学,0815,矿业类,07,Engineering Manufacturing and Construction,工程与制造建筑,环境·资源,
工学,0816,纺织类,07,Engineering Manufacturing and Construction,工程与制造建筑,化工·材料·轻工,
工学,0817,轻工类,07,Engineering Manufacturing and Construction,工程与制造建筑,化工·材料·轻工,
工学,0818,交通运输类,07,Engineering Manufacturing and Construction,工程与制造建筑,交通·物流·安全,
工学,0819,海洋工程类,07,Engineering Manufacturing and Construction,工程与制造建筑,航空·海洋,
工学,0820,航空航天类,07,Engineering Manufacturing and Construction,工程与制造建筑,航空·海洋,
工学,0821,兵器类,07,Engineering Manufacturing and Construction,工程与制造建筑,机械·制造·自动化,
工学,0822,核工程类,07,Engineering Manufacturing and Construction,工程与制造建筑,电气·能源·核,
工学,0823,农业工程类,07,Engineering Manufacturing and Construction,工程与制造建筑,生命工程,
工学,0824,林业工程类,07,Engineering Manufacturing and Construction,工程与制造建筑,生命工程,
工学,0825,环境科学与工程类,07,Engineering Manufacturing and Construction,工程与制造建筑,环境·资源,
