题目编号,RIASEC维度,强度等级,生活场景,题目内容,计分说明
R001,R,低,学习,我不排斥需要动手操作的任务，比如实验或手工制作,1=非常不同意 5=非常同意
R002,R,低,学习,比起只看理论，我更喜欢能亲身体验和操作的学习方式,1=非常不同意 5=非常同意
R003,R,低,学习,体育课、实验课或劳技课让我觉得比纯理论课更有意思,1=非常不同意 5=非常同意
R004,R,低,日常,看到别人在修东西或搭建结构时，我会觉得有趣并想了解,1=非常不同意 5=非常同意
R005,R,中,家庭,家里东西坏了，我会先尝试自己研究怎么修，而不是马上找人来修,1=非常不同意 5=非常同意
R006,R,中,课余,我喜欢用双手做出一件完整的成品，比如手工艺品、模型或装置,1=非常不同意 5=非常同意
R007,R,中,课余,我对机器、电子设备或工具的内部构造感到好奇,1=非常不同意 5=非常同意
R008,R,中,课余,我更喜欢在户外或做实际操作，而不是长时间坐着读书写字,1=非常不同意 5=非常同意
R009,R,中,学习,做实验时我比单纯听讲更专注投入，更能进入状态,1=非常不同意 5=非常同意
R010,R,中,课余,我喜欢户外运动、农业体验或与大自然直接接触的活动,1=非常不同意 5=非常同意
R011,R,高,课余,我经常主动拆解或研究身边的设备，想弄清楚它们是怎么运作的,1=非常不同意 5=非常同意
R012,R,高,课余,我每周会花几个小时在制作、修理或搭建东西上，乐此不疲,1=非常不同意 5=非常同意
R013,R,高,假设情景,给我一堆材料或零件，我能专注地把它们做成有用的东西并感到满足,1=非常不同意 5=非常同意
R014,R,高,假设情景,我觉得亲手造出一件实物比写一篇文章或做一份报告更有成就感,1=非常不同意 5=非常同意
R015,R,高,假设情景,如果可以自由选择，我宁愿在工坊或实验室工作，而不是坐在办公室,1=非常不同意 5=非常同意
R016,R,高,日常,一天不动手做点什么，我就会觉得这天过得有些空虚,1=非常不同意 5=非常同意
I001,I,低,日常,遇到不懂的问题，我会主动去查资料或深入研究直到弄清楚,1=非常不同意 5=非常同意
I002,I,低,学习,我喜欢数学、物理或生物这类需要推理和逻辑分析的学科,1=非常不同意 5=非常同意
I003,I,低,日常,看到一个有趣的自然现象或社会问题，我会想知道背后的原因,1=非常不同意 5=非常同意
I004,I,低,课余,科普文章、纪录片或学术视频对我的吸引力不亚于一般娱乐内容,1=非常不同意 5=非常同意
I005,I,中,学习,我享受分析和解决复杂的逻辑或数学难题，即使很费脑也不觉得烦,1=非常不同意 5=非常同意
I006,I,中,学习,比起记住结论，我更想理解"为什么"是这样以及背后的原理,1=非常不同意 5=非常同意
I007,I,中,学习,我喜欢独立思考问题，不急于问别人答案，享受自己推导的过程,1=非常不同意 5=非常同意
I008,I,中,课余,我会对某个主题产生浓厚兴趣，然后花时间深入研究它,1=非常不同意 5=非常同意
I009,I,中,学习,解开一道难题带给我的满足感超过其他大多数课内外活动,1=非常不同意 5=非常同意
I010,I,中,日常,我会从多个角度分析同一个问题，不轻易满足于表面解释,1=非常不同意 5=非常同意
I011,I,高,课余,我曾经自发地对某个科学、数学或社会问题进行长时间的深入探究,1=非常不同意 5=非常同意
I012,I,高,课余,我会主动阅读超出课本范围的学术材料、研究报告或专业书籍,1=非常不同意 5=非常同意
