专业类代码,专业类名称,大类编码,大类名称,一句话介绍,典型代表
0101,哲学类,02,艺术与人文,探索人类思维与价值本质，培养逻辑与批判思考能力，未来可从事学术研究、文化咨询或公共政策分析,哲学研究员、伦理顾问、文化评论员
0201,经济学类,04,商业管理与法律,分析市场运行与资源配置规律，为商业决策和政府政策提供理论依据,经济分析师、政府经济顾问、智库研究员
0202,财政学类,04,商业管理与法律,研究国家财政收支与税收制度，主要在税务局、财政部门或会计师事务所工作,税务师、财政分析师、审计员
0203,金融学类,04,商业管理与法律,研究资金融通与投资管理，在银行、基金、证券等金融机构从事投资与风险分析工作,投资分析师、基金经理、银行风险管理员
0204,经济与贸易类,04,商业管理与法律,研究国内外贸易规则与商业运作，从事进出口业务或国际商务谈判工作,外贸业务员、国际商务专员、海关官员
0301,法学类,04,商业管理与法律,学习法律规范与司法程序，未来成为律师、法官或企业法务,律师、法官、法务专员
0302,政治学类,03,社会科学（含教育与体育）,研究政治制度与国际关系，为政府治理和外交事务提供理论支撑,政府公务员、外交官、政治分析师
0303,社会学类,03,社会科学（含教育与体育）,研究社会结构与群体行为，在政府、NGO 或研究机构从事社会政策与调查工作,社会工作者、政策研究员、社区发展专员
0304,民族学类,03,社会科学（含教育与体育）,研究各民族文化与历史，在民族事务部门、文化机构或学术领域工作,民族文化研究员、文物保护专员、民族事务干部
0305,马克思主义理论类,03,社会科学（含教育与体育）,研究马克思主义基本原理及其当代应用，主要面向高校和党政系统的理论工作,高校思政教师、党政干部、理论研究员
0306,公安学类,07J,国防安全,学习警务管理与社会治安维护，直接面向警察、安全情报等职业方向,警察、安全情报分析师、反恐专员
0401,教育学类,03,社会科学（含教育与体育）,研究教学规律与人才培养方法，主要从事各级学校教育或教育行政管理工作,中小学教师、课程设计师、教育行政管理员
0402,体育学类,03,社会科学（含教育与体育）,研究运动训练与体育教育，可成为教练员、体育教师或运动健康管理师,体育教师、运动教练、运动健康管理师
0501,中国语言文学类,02,艺术与人文,研究汉语言文字与中国文学，可从事写作、编辑、语文教学或文化传播工作,作家、编辑、语文教师
0502,外国语言文学类,02,艺术与人文,精通外语语言与文化，从事翻译、外交、语言教学或跨文化传播工作,翻译、外交官、跨国企业国际专员
0503,新闻传播学类,03,社会科学（含教育与体育）,学习媒体内容生产与信息传播，成为记者、媒体人或品牌传播专员,记者、新媒体运营、公关传播专员
0601,历史学类,02,艺术与人文,研究人类历史发展与文明演变，在学术机构、博物馆、教育或文化遗产领域工作,历史研究员、博物馆策展人、历史教师
0701,数学类,05,自然科学与数学,探索数量关系与逻辑结构，可进入科研、金融、数据分析等多种高端领域,数学研究员、精算师、数据科学家
0702,物理学类,05,自然科学与数学,研究物质运动与自然规律，是工程与科技创新的基础，可进入芯片、能源、量子计算等前沿领域,物理学家、材料研究员、量子计算工程师
0703,化学类,05,自然科学与数学,研究物质组成与化学反应，为新材料、医药、能源等领域提供基础科学支撑,化学研究员、药物研发工程师、材料分析师
0704,天文学类,05,自然科学与数学,研究宇宙天体与空间规律，主要在天文台、航天机构或科研院所工作,天文学家、航天科研人员、深空探测工程师
0705,地理科学类,05,自然科学与数学,研究自然地理与人文地理规律，在城市规划、环保、遥感等领域有广泛应用,地理信息分析师、城乡规划辅助专员、气候研究员
0706,大气科学类,05,自然科学与数学,研究大气运动与气候变化规律，主要在气象局、航空、环保部门等机构工作,气象预报员、气候研究员、大气环境分析师
0707,海洋科学类,05,自然科学与数学,研究海洋物理、化学与生态，在航运、渔业、海洋资源开发等领域工作,海洋研究员、海洋环境评估师、水下探测技术员
0708,地球物理学类,05,自然科学与数学,利用物理方法探测地球内部结构，为地震监测、油气勘探提供技术支撑,地震分析师、地球物理勘探工程师、地质灾害预警员
0709,地质学类,05,自然科学与数学,研究地球物质成分与地层演化，为矿产勘探和地质灾害防治提供科学依据,地质勘探工程师、矿产评估师、地质调查员
0710,生物科学类,05,自然科学与数学,研究生命现象与生物规律，为医学、农业和生物技术提供基础科学支撑,生物学家、基因研究员、生物技术研发工程师
0711,心理学类,03,社会科学（含教育与体育）,研究人类心理与行为规律，在咨询、医疗、教育或人力资源领域工作,心理咨询师、心理治疗师、人力资源专员
0712,统计学类,05,自然科学与数学,用数学方法分析数据与不确定性，广泛应用于金融、医学、科研和商业决策,统计分析师、数据科学家、生物统计师
0801,力学类,07A,机械·制造·自动化,研究力与运动的基本规律，为航空、土木、机械工程提供核心理论基础,结构力学分析师、航天仿真工程师、工程力学研究员
0802,机械类,07A,机械·制造·自动化,设计与制造各类机械装置和生产系统，从汽车到机器人广泛应用于制造业,机械工程师、机器人工程师、汽车设计工程师
0803,仪器类,07A,机械·制造·自动化,设计和制造精密测量仪器，为科研、医疗、工业检测提供高精度技术支撑,精密仪器工程师、质量检测工程师、传感器研发工程师
0804,材料类,07E,化工·材料·轻工,研究各类材料的结构与性能，为电子、航空、医疗等行业开发高性能新型材料,材料研发工程师、新能源材料工程师、金属冶炼工程师
0805,能源动力类,07B,电气·能源·核,研究能量转换与动力系统，为发电、新能源和交通动力领域提供核心工程支持,热能工程师、新能源工程师、动力系统设计工程师
0806,电气类,07B,电气·能源·核,研究电能的产生、传输与控制，从国家电网到电动汽车都离不开电气工程师,电气工程师、电力系统设计师、智能电网工程师
